desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_300_0x1100_135_600000,741.7907516599989,9.746423079650654,1.732345099086818,1.568374698913237,0.40915528975932797,0.29007166050750144,0.2382371157874422,0.013924784083537261,0.0012672762690614829,0.00015657913687955303,3.2399300962262496e-05,1.1230647009426493e-05,6.234610651212747e-07,1.617677191977029e-07,1.6287958694323397e-09
0_350_0x1100_135_600000,733.7584980600004,9.756461996150996,1.738602884913901,1.5906397742239378,0.30175488876647233,0.3685986008623562,0.24177497270028936,0.0015436534286157296,0.0003274494285869306,0.000265793505831438,2.8679110107978786e-05,9.503927455669299e-07,2.887906566099219e-07,9.015563595449325e-09,5.870993226746898e-08
0_250_0x1100_135_600000,747.5655782000031,10.009840830319114,1.720204333608568,1.5975875450996104,0.2884812954279093,0.3724904499021039,0.009124198476049882,0.0017580308373118954,0.00035209190808362356,0.0001259487588775995,3.246847071107933e-05,2.150714815845873e-06,4.669179242160481e-07,1.8400188958858554e-07,5.557019153821133e-09
0_2_0x1100_135_600000,820.0099866,9.968792651931384,1.857627520094113,1.239641693375359,0.5633883628544888,0.33932309626470564,0.026959703860357197,0.0030764565145655147,0.0010441535845390588,0.00013470805440888106,1.0958469048054829e-05,5.853419537490134e-07,5.8602084794528873e-08,5.105298819828587e-08,1.770324138735027e-15
0_200_0x1100_135_600000,763.3091675999967,9.958008684675463,1.7248218593718312,1.5887462916170572,0.4001939915617544,0.2857004605558142,0.03808351613780909,0.003770201766259538,0.0005294235008869317,0.0001362371498963454,6.977866726268503e-06,1.6424306601868703e-06,6.128827613975858e-07,9.626154915699016e-08,4.22152952725013e-09
0_30_0x1100_135_600000,814.3830447200016,9.979862433193803,1.7026032330925387,1.4435256391538902,0.5310809251837434,0.3226847460702397,0.014452603092134475,0.0037730882513335555,0.0018657607670080122,0.00014571432668760906,3.839970441196479e-06,1.9393123158880294e-06,4.998142285906657e-08,2.760441628900896e-08,6.255091399072017e-15
0_30_0x1100_135_600000,810.7784496000022,9.983162131226972,1.6621247040996618,1.4552367734838543,0.5339962493352979,0.34801744581378175,0.013110257793437122,0.002935420310777536,0.0012466362132764674,0.0001662136173254944,3.6919573049788005e-06,3.8039274601905124e-07,5.583297311375681e-08,3.992257412935892e-08,2.4850953997234164e-15
0_40_0x1100_135_600000,809.7905171999881,9.33943873863611,1.6613449042471031,1.4976216663135733,0.6159106393318381,0.502557792226898,0.3386577693116805,0.03140332945094432,0.009256679175715479,0.003562295552988219,0.00023595352955463604,9.77654180408358e-06,4.274752282224321e-07,2.820656061285554e-08,-8.18475045298911e-16
0_350_0x1100_135_600000,733.7584980600004,9.776980554818778,1.769206035709787,1.5721813409617917,0.29246172471522464,0.3657340037582432,0.2187859168861226,0.004124064240526877,0.0004733878645675754,4.009929537070423e-05,7.345806473967234e-06,5.2021178534554505e-06,2.465839906943604e-07,7.05277673018879e-08,6.713504537549551e-09
0_100_0x1100_135_600000,786.8191508799973,9.987692252432137,1.7397669011991224,1.499869633389825,0.2966160681216775,0.4632831653678061,0.008662362273901497,0.002548946542321655,0.0014527076572869004,7.581550747184606e-05,3.1715731783203495e-05,3.603666391938842e-07,5.640487067215534e-08,1.5005164320510045e-08,1.218413610319022e-14
0_30_0x1100_135_600000,810.7784496000022,9.98009681254964,1.6595239640616826,1.4341236378503628,0.3679599157958842,0.5381056601147909,0.015239386210012168,0.0030044163138569723,0.0017614588437634261,0.0001704324322451864,1.388870625120846e-05,3.1901923589419917e-07,7.734080845067438e-08,3.076147510446696e-08,1.082347068328215e-15
0_200_0x1100_135_600000,766.782664059996,9.914358947790827,1.7319486769302541,1.5966760886004667,0.27641467865652836,0.394933444021013,0.08424210288074083,0.0009738024892562485,0.00031694790091704993,0.00010221455220115002,3.2068880641228674e-05,6.201097408301499e-07,3.3248337805194736e-07,2.6799305102904956e-08,4.790472833681142e-08
0_400_0x1100_135_600000,744.4604276200043,9.993449101557701,1.8520046317333334,1.5777880691120758,0.26247293058529275,0.3056686956064718,0.007903142140403975,0.0005737818172098326,8.250297995925936e-05,4.275494345561166e-05,1.2905304522118868e-05,1.1247414197247263e-06,2.469345507436445e-07,1.1250530326652925e-07,3.830777038113524e-11
