desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_400_0x1300_135_600000,777.6825463399999,10.001351237820131,1.815049497783801,1.6043200765703816,0.27390710992061706,0.301942753497268,0.003215752422514706,8.240516933731738e-05,6.052212973211943e-05,4.643781214920328e-05,2.129872830688706e-05,2.0878551571152827e-06,6.798248035329535e-07,1.236103970283346e-07,1.6855404346904055e-08
0_100_0x1300_135_600000,856.8005647600003,9.986149217135218,1.6854200526400467,1.5560613483703913,0.32532555535065166,0.43224648402440785,0.01128866319686385,0.0020371244491107984,0.0014269468118121474,2.7589609507011458e-05,1.6655899199650655e-05,2.5998860244564425e-07,8.11463895775394e-08,2.1377430692945926e-08,3.789458976762482e-13
0_100_0x1300_135_600000,857.37560734,9.980228799620384,1.7026467192729215,1.5247417238709846,0.4584645184632951,0.313887733103299,0.01660003825337205,0.0024032392147997567,0.0008758552869923723,0.00014545137463510554,5.390623105664808e-06,4.064443452958106e-07,1.1098288359272647e-07,1.3486197806173076e-08,2.794199640431112e-12
0_100_0x1300_135_600000,857.37560734,9.982483653394027,1.7014986632437046,1.511994352716426,0.3040923867613747,0.4821321969047465,0.011574731752838123,0.004311828819984816,0.0018464160462144555,5.635272794265889e-05,8.96545389013216e-06,3.195383865799023e-07,1.1381619998384256e-07,1.8821736499697148e-08,2.5363323226459563e-12
0_40_0x1300_135_600000,885.4346729200042,9.958861301120155,1.6921490934836283,1.502358225163414,0.4974507296541531,0.3079099425287722,0.02884298058815714,0.00798814353946542,0.004353449004829228,8.251753932342546e-05,3.146913569788954e-06,3.2129663232368005e-07,1.1155984632819643e-07,3.760804849815655e-08,9.434959293289163e-15
0_2_0x1300_135_600000,909.4028529600099,9.043266734790745,1.8691168370413564,1.21995790063459,0.9460627129035185,0.5550667703446935,0.35632059190231774,0.005735633477532535,0.0041026384890497005,0.00031090237405060164,5.139579232541402e-05,7.049593357667112e-06,7.50462366052839e-07,8.219408206316299e-08,1.7124586796043642e-15
0_350_0x1300_135_600000,779.556153880003,10.002047939241852,1.730672259370951,1.5869766771355451,0.2986045661667053,0.3803120005375968,0.0011566549019215802,0.0001402483331349581,6.395684916861009e-05,1.5901495539004954e-05,7.868041522784778e-06,1.5502042803629715e-06,3.5201450577191195e-07,2.0631773668744846e-08,5.075512567353663e-09
0_300_0x1300_135_600000,794.995748819998,9.988637010946253,1.705194706926378,1.605420184397604,0.2924946594546817,0.3937347579936261,0.013835847575870433,0.0003977955720173753,0.0002334736216944746,2.812406575177422e-05,2.1618045228504392e-05,1.2760208425473005e-06,3.453323581827719e-07,4.215282606311784e-08,1.578948664645482e-07
0_250_0x1300_135_600000,814.6408471600007,9.902231792236151,1.703902714933537,1.6111208111701971,0.29485682827155735,0.3832214788875809,0.10379379159532148,0.0005479623087370139,0.00021159277748187017,0.0001011969945480072,1.0970155481776937e-05,4.6299898835566044e-07,2.4635873242852067e-08,1.2718728455612807e-07,2.4584727117491373e-07
0_40_0x1300_135_600000,885.4346729200042,9.984467463506572,1.6373191165886358,1.5105127975598038,0.3626965175099754,0.4894419258204545,0.007625044087431094,0.005481538780471199,0.0023557245028541837,9.493041533761928e-05,4.2043041339269626e-06,4.0833706895975627e-07,2.4156753887230664e-07,8.70197406924632e-08,1.845308965866735e-15
