desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14
0_9_100_0x1d00_135_200000,1044.381230619998,9.999470878916437,1.6525154542313372,1.5554920412116424,0.9993186552983823,0.35188103339432825,0.44004587807204104,0.0008581433305575989,0.0003273622897767025,5.309553776618869e-05,1.6493478269415472e-05,1.0500465203797223e-05,7.342594851917145e-06,2.8444014764460324e-06,1.7998192190252926e-07,9.679600513297977e-08
0_12_10_0x1d00_135_200000,1075.4914721599998,9.997962748457297,2.4632414912233283,1.0000935693176007,0.8313320038817207,0.5412209713666802,0.16210845042596025,0.0035249115659168216,0.000318962674493275,0.00012797746115299221,4.4843016970624203e-05,2.071862000884415e-05,3.1403969961915355e-06,1.7291838085195404e-07,3.8673376720379776e-08,1.2520847135780694e-13
0_0_350_0x1d00_135_200000,908.4945472399995,9.935520935751127,1.6634445604647194,1.5566337572100597,0.9965837704037099,0.35426098878362217,0.42504918749785814,0.06642747042890915,0.0014226434172958688,0.0004508039316710151,0.0001513439974559421,3.228221822730353e-05,1.8965128720883716e-05,2.8304588621936077e-07,1.5816327810563525e-06,1.4260879644864868e-06
0_3_40_0x1d00_135_200000,1078.1443163399963,9.996527004116794,1.8660338201366342,1.242828553620099,0.9951608787587721,0.39777084219760533,0.4969104506735184,0.004254784305417664,0.0003429778875680127,0.0001432683916697003,1.9193773130494447e-05,6.590587810878905e-06,9.698935317871411e-07,4.439634578260033e-07,2.1986622327915652e-07,1.8277693788938158e-09
0_2_350_0x1d00_135_200000,908.5500020799955,9.979493424841754,1.6820881231847387,1.5732610720692015,0.9965411314497579,0.33184038869548277,0.4107591886270104,0.02111596745557018,0.003975171497326648,0.0005581119368738423,0.00028209297297858963,6.124740078539863e-05,1.590784798796611e-05,6.499535578620656e-06,6.280523935272425e-07,1.044432552442617e-06
0_2_20_0x1d00_135_200000,1072.3443871,9.999057778062596,2.211880474301049,0.9397471934029913,1.0006841462443914,0.567583146898493,0.2794606458682827,0.0010303724503294646,0.0003508953374166242,0.00015180723161913718,4.369247852834908e-05,8.071463290261934e-06,1.3259239732641827e-06,2.983187819919493e-07,1.5201821699862902e-07,5.0873606215477794e-14
0_9_350_0x1d00_135_200000,966.6590749199968,9.992164189268843,1.722550139630232,1.532797916725618,0.9997306447109163,0.3464272231593341,0.3955988709306432,0.008767122786057296,0.0015783132504675664,0.00017912650708773714,0.0001005504565831658,7.208545748972538e-05,2.5657618417350222e-05,5.59436613752072e-06,2.146633971558216e-06,4.1849820930473584e-07
0_8_350_0x1d00_135_200000,908.5500020799955,9.991479926665036,1.6964168206085628,1.5453473627275816,0.9962658064642649,0.3287469668772795,0.4287629288718864,0.009299622727566258,0.002189713788141061,0.0010804823192254616,0.00028595868701233374,8.06260717678004e-05,3.72185589556483e-05,4.84944263385213e-06,2.4038984225141537e-07,1.4758002498302012e-06
0_5_100_0x1d00_135_200000,1044.4156419200008,9.998994836049611,1.6435059903964613,1.53603026610966,0.9997968960643357,0.3589759440426404,0.4613864187427387,0.0005930622088158846,0.0005602035477811772,9.405084678061378e-05,4.562005473329554e-05,1.0697137723233604e-05,3.2118794505017615e-06,2.4193312301733197e-06,2.718694626949152e-07,1.1171858310665837e-07
0_4_100_0x1d00_135_200000,1011.6735722800004,9.996725397708358,1.6371747921916855,1.5320491921503439,0.9997200396891938,0.3616986286066499,0.46812090145880175,0.004051073573973923,0.0003318057533645426,8.392022806564093e-05,3.123264599522944e-05,7.289562121758594e-06,4.237244397322407e-06,9.834382509051176e-07,4.540651333733077e-07,5.168368412966363e-08
0_6_100_0x1d00_135_200000,1011.6735722800004,9.997524261414314,1.6331253325214543,1.5283491694715863,0.9990815473984146,0.36566813620398236,0.47230306525140536,0.0034150521275978754,0.00026027346522858595,0.00022851594588847238,3.230508323205738e-05,6.783619836708044e-06,3.3683860501260006e-06,1.8547915374177354e-06,2.562819808292205e-07,7.803747696712224e-08
