desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_100_0x1100_135_400000,117.5,31.2,45.3,68.7,76.5,117.5,155.6,166.8,188.0,9.997043181410996,1.6710549325198885,1.5165870992418349,0.3406398037210073,0.4715438492842491,0.002128561444302239,0.0007217625542745593,0.00023825417921463236,3.2668427535230213e-05,9.608417654252078e-06,1.4700422256996397e-07,1.0779520298419527e-07,2.3908834406299006e-08,9.078895629469291e-11
0_300_0x1100_135_400000,247.5,86.2,45.3,109.1,131.0,248.9,360.4,385.9,432.4,9.955864081915909,1.7037874005600564,1.5705423831535112,0.315440600182514,0.40517849352568847,0.044735793248037344,0.003385288981095707,0.000979060436681247,6.824756773911951e-05,1.1993396618170684e-05,5.326259961102157e-06,9.827329813156274e-07,2.911185397380238e-07,5.692067684925145e-08
0_50_0x1100_135_400000,88.8,21.0,41.1,58.6,63.4,87.6,113.6,122.6,151.2,9.965771041147974,1.6614222606489597,1.4843591262002722,0.35776217623310247,0.49562833279218,0.02104191666250366,0.013266863116680004,0.0006215430744052947,0.00012192637182518709,3.73756805970668e-06,9.719047354293687e-07,8.94294622818507e-08,1.4849827624231355e-08,1.2982617742102332e-14
0_400_0x1100_135_400000,305.0,113.5,49.8,121.0,151.5,308.4,450.8,479.9,533.4,9.981221093314545,1.7456524365152166,1.585213525926666,0.2923441406693467,0.37162049620824145,0.023366861205353064,0.0002899605864733709,0.00021621437878955636,5.5533814799908905e-05,1.1066175167521947e-05,7.084277602186292e-06,1.4862585956346264e-06,9.180363346147269e-08,8.865581670174146e-09
0_200_0x1100_135_400000,175.5,57.8,45.3,83.6,97.8,176.7,250.6,268.1,298.6,9.977451276613674,1.7013794359759247,1.5653400269226427,0.4135912389705546,0.31949224838674267,0.021180894099557614,0.0011465480876229962,0.00030018505565855,9.36977395239204e-05,1.573327825517118e-05,8.177250722453414e-06,4.790029760979186e-07,4.723693661620507e-08,1.1379213231016324e-08
0_20_0x1100_135_400000,78.7,24.7,41.1,55.6,57.9,73.5,104.0,118.8,172.0,9.992978769639763,1.9972036126745871,1.1157893595350372,0.5527138012281695,0.33428528259805024,0.004330102574286,0.002258804140998219,0.00033254088787705544,9.717587069020168e-05,8.894854697610522e-06,1.284385984828612e-06,3.420543551124058e-07,2.955550311606669e-08,9.539345880815064e-15
0_40_0x1100_135_400000,84.3,21.7,41.1,56.9,61.0,81.9,107.2,117.9,152.1,9.98963270836936,1.6992819717524594,1.4297826158291058,0.3680937541170874,0.5028046049946536,0.005887042857206716,0.0036333160336966853,0.0007471629971409113,0.00013336663835080445,2.9571973483909455e-06,3.496042492222991e-07,1.0211194500977523e-07,4.749738353434607e-08,7.719482993464553e-15
0_40_0x1100_135_400000,84.3,21.7,41.1,56.9,61.0,81.9,107.2,117.9,152.1,9.979632350958067,1.7004352123179232,1.4244517328699395,0.5226404082409395,0.352278384092032,0.011624597574347835,0.007556957970310912,0.0012452269664812005,0.00012959846887368473,4.1494718498746035e-06,1.1011588642479202e-06,2.616849712362652e-07,1.822538406554021e-08,1.245673717753603e-14
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.98542758507283,1.7431581806341168,1.5783804106083044,0.3057039979349394,0.37203018992656756,0.010741302902865667,0.004014804953490293,0.00044269140867657885,7.475518526058442e-05,1.8589543442043537e-05,5.59586553276774e-06,1.5097906494856715e-06,3.2976848161272205e-07,5.64048357697934e-08
0_20_0x1100_135_400000,78.7,24.7,41.1,55.6,57.9,73.5,104.0,118.8,172.0,9.993828505853552,1.9919056168901812,1.1271617370418794,0.5491878455313571,0.3314607859035339,0.004855338762543284,0.0007306525486592213,0.0005877570279073243,0.0002748385106269757,5.42840623300797e-06,1.011336222847507e-06,4.6042752360247825e-07,2.1759776026765393e-08,1.613923582573562e-15
0_30_0x1100_135_400000,79.9,21.6,41.1,55.8,58.8,76.7,103.4,115.3,153.7,9.979571910546134,1.7710668262090357,1.312790695503971,0.5471882696420993,0.3684872831232662,0.019353184240534435,0.0007784631911246337,0.0005184321614752818,0.00024162683647296158,2.9382095311802474e-06,2.0237720642969033e-07,1.397169256726419e-07,2.824221372317817e-08,1.1642484966594354e-14
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.967242953721433,1.717654337647543,1.6002045737254695,0.2943184739085824,0.38628661370104606,0.033659629156820886,0.0003703898674385255,0.0001961270625302327,4.5419142583795634e-05,1.4959086610370286e-05,6.002920211750402e-06,4.549880617375469e-07,4.853769020627378e-08,1.6533969370317287e-08
0_30_0x1100_135_400000,79.9,21.6,41.1,55.8,58.8,76.7,103.4,115.3,153.7,9.98287974010761,1.753587009288333,1.3110387255807403,0.5624980305121426,0.3726153083817178,0.013393326739505253,0.0035600396050116437,0.00036670436728944954,5.7871633550161994e-05,2.444908659407813e-06,5.683291103637688e-07,1.847896530203355e-07,4.575666548247277e-08,7.092718617392234e-15
0_300_0x1100_135_400000,247.5,86.2,45.3,109.1,131.0,248.9,360.4,385.9,432.4,9.809822174108279,1.7406000231587022,1.5949802538492703,0.3837009645595331,0.2712701400722287,0.19718985622543608,0.0022026545255593127,0.0001638964371530284,4.159336727386783e-05,2.1040533804487573e-05,5.424739031883608e-06,1.766868964281922e-06,1.8345591878693773e-07,2.8098856752187696e-08
0_300_0x1100_135_400000,247.5,86.2,45.3,109.1,131.0,248.9,360.4,385.9,432.4,9.973696719070386,1.7066918033621579,1.5855034274026243,0.3001050249690395,0.4058319715616512,0.025654264417332352,0.0020710793242443857,0.0003113194600006872,9.945493059394945e-05,2.8157064783911808e-05,4.603536251448836e-06,1.2447364539583063e-06,8.728106497254157e-07,5.735384339565718e-08
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.95907461967926,1.7195150835898725,1.5990300390449808,0.3011705373593508,0.37909793547294657,0.04135668987175396,0.0004108413273051498,0.0002623600872233781,5.415775016589631e-05,2.1944190640862914e-05,4.150606333302745e-06,1.5090647885467204e-06,7.441213033122572e-09,1.2451416138531187e-07
0_250_0x1100_135_400000,206.8,72.1,49.8,91.7,109.0,207.6,301.0,322.5,359.9,9.962795745357397,1.7265366105243176,1.59104559646101,0.29464976547192456,0.38773271505024426,0.03296077336814968,0.003579813587313752,0.0004432070543867381,0.00019143146048806404,5.90462617941417e-05,4.645367186322302e-06,5.63827806770338e-07,7.58232771204195e-08,1.0384698864940866e-08
0_40_0x1100_135_400000,84.3,21.7,41.1,56.9,61.0,81.9,107.2,117.9,152.1,9.984145249762632,1.6915346615201854,1.4451683366709782,0.504180123300747,0.35873771536569793,0.012139747692473678,0.0026299067489882707,0.001293968915849681,0.00016656154099264063,2.891378792724562e-06,6.100561556315167e-07,2.063124092904313e-07,2.0734097983646686e-08,1.1502493310446095e-14
0_50_0x1100_135_400000,88.8,21.0,41.1,58.6,63.4,87.6,113.6,122.6,151.2,9.976574552764296,1.6525283230186283,1.469929741907689,0.5219226416239423,0.3550522205485575,0.019345512108431703,0.003613496460763041,0.0006552177964328435,0.0003710894343613508,6.655889484961878e-06,4.2497573724316953e-07,1.0438038404470319e-07,1.9091284497029996e-08,1.0717508787081699e-14
