desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_50_0x1d00_135_400000,72.0,15.6,34.0,47.5,51.0,72.4,93.1,96.6,105.8,9.99100721038018,1.6505620866248356,1.4675260127983958,0.5137571937946805,0.36802788357669713,0.0061928142840353695,0.002418073885120007,0.00044896680110805383,5.213823881659126e-05,6.621410881522245e-06,8.667835150785067e-07,8.38384366680054e-08,4.7145861238366264e-08,4.37431672081402e-10
0_30_0x1d00_135_400000,59.6,10.4,37.4,44.4,46.5,58.9,73.4,77.7,86.3,9.983806522697623,1.847178039927567,1.2886089427215335,0.5135311733963149,0.3503839826361346,0.013289683575515559,0.0028493870144103914,0.0003428334918199334,6.316147568424282e-06,1.8846930435171195e-06,7.058174020553376e-07,3.443175946832026e-07,1.8356343633833623e-07,2.922741660423558e-14
0_20_0x1d00_135_400000,54.6,9.3,30.9,43.2,45.4,53.8,65.0,69.6,79.9,9.987744574402827,1.984369987931137,1.136630270782603,0.5297096131838473,0.3489814566265841,0.01117267581405015,0.0012607874004606865,0.00011696312347097736,7.535441733172565e-06,4.2012459400175945e-06,1.322943937006944e-06,5.430323178035311e-07,6.807105174928093e-08,3.8175258406330384e-14
0_350_0x1d00_135_400000,237.8,100.1,37.4,78.4,99.3,239.6,369.2,392.8,431.5,9.997137648368646,1.704864115279805,1.5657861176453645,0.30684648268887976,0.41688454690907484,0.007386290941793153,0.0008046793312394888,0.00023912988450158057,2.670377178653383e-05,1.950576151339267e-05,3.393849733699992e-06,9.922218324961284e-07,2.308480077643036e-08,3.702610297313761e-07
0_20_0x1d00_135_400000,54.6,9.3,30.9,43.2,45.4,53.8,65.0,69.6,79.9,9.992507231051729,1.9824246805685612,1.1482417415792512,0.5219658333905393,0.3472669769162522,0.006260010322214328,0.0011215959453848134,0.00018817854434809134,1.0967318504571193e-05,1.014628199995404e-05,2.1130923664353772e-06,4.2863513823823797e-07,9.635366176630556e-08,4.227180927140411e-14
0_250_0x1d00_135_400000,188.9,73.3,37.4,73.1,88.5,190.0,285.8,301.5,338.9,9.971491917066647,1.6978131233658107,1.5545279717623208,0.43117211685135093,0.31595633751643365,0.022985309566854892,0.004369865320751634,0.0013048926084210245,0.00019254800622951293,0.00017951368790440161,3.4821820575520676e-06,2.2030347365304052e-07,1.7013952796188692e-06,1.000366472016223e-06
0_200_0x1d00_135_400000,158.8,57.6,41.1,67.4,79.7,159.2,236.3,248.1,273.6,9.982214905221088,1.6834817087904497,1.5724548273614434,0.3180734934756169,0.4255154872573477,0.016968599313858038,0.001046453613612822,0.000140989611628535,5.581167351911511e-05,4.163525650249602e-05,3.639294232326944e-06,1.3764217480184047e-06,7.832354773216247e-07,2.8947348521279956e-07
0_2_0x1d00_135_400000,48.7,7.2,34.0,40.7,41.6,47.0,58.3,62.5,74.0,9.999009044665076,1.9759575059411636,1.1506295522665546,0.5295697059430537,0.34342018798772017,0.0007461066749834375,0.0005305586091678418,0.00011745342050590106,1.284220169415804e-05,5.013007803743552e-06,1.3244119093213915e-06,4.6409534353241693e-07,2.4077499339387764e-07,3.8505356526437005e-14
0_200_0x1d00_135_400000,158.8,57.6,41.1,67.4,79.7,159.2,236.3,248.1,273.6,9.971095329810298,1.679023468355823,1.5503866829454593,0.44188197882916735,0.3286760455076749,0.026720115660971752,0.002010191922412652,0.00012168897655495709,6.20525865368929e-05,1.2766500451262948e-05,4.964875901264799e-06,3.9596763821136875e-06,1.692032838702873e-07,5.851490755443289e-07
0_50_0x1d00_135_400000,72.0,15.6,34.0,47.5,51.0,72.4,93.1,96.6,105.8,9.984705006328793,1.6727093901334573,1.482091147240373,0.35138426071438106,0.4936800712235819,0.00899734172659985,0.005510790649491244,0.0009037920386517882,1.2686545679132063e-05,3.873999998215117e-06,1.4582320044128175e-06,1.4384503114370389e-07,2.9305417766286213e-10,3.702890895007932e-08
0_350_0x1d00_135_400000,237.8,100.1,37.4,78.4,99.3,239.6,369.2,392.8,431.5,9.95426016014445,1.6926931651249897,1.5702572739607217,0.3249341403026341,0.40933629423091866,0.0478401763903138,0.000365116039533801,0.0002359758602266641,6.452287003161243e-05,9.72398606014893e-06,2.294569760730562e-06,9.366588125892403e-07,1.6895802235338606e-07,5.09035475627855e-08
