desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_250_0xf00_135_200000,202.8,71.6,45.3,88.9,105.6,203.9,297.8,315.8,339.3,9.985238955095351,1.6801107790849859,1.5282306063520665,0.3455804775579805,0.4455073890280359,0.015001563419469155,0.00017088186763975405,9.97254205849638e-05,3.452156613235712e-05,1.98698962775774e-05,4.200075591064846e-06,6.385922630181922e-07,3.642785865940667e-07,2.7765042039510177e-08
0_200_0xf00_135_200000,173.9,57.2,45.3,81.2,95.4,175.4,249.2,265.0,289.4,9.998601628762405,1.6866668088831644,1.5474862656496442,0.3391946389587513,0.4259405341414891,0.00183460251164678,0.00013072130898662002,8.97305797600161e-05,3.139027850673297e-05,1.6905159260136544e-05,6.135638011825146e-06,5.758267530566026e-07,4.343299907238863e-08,1.8868625030662687e-08
0_50_0xf00_135_200000,81.4,17.6,41.1,56.3,58.6,80.1,105.1,111.8,125.4,9.997506552648067,1.7715940695072003,1.285164848858878,0.4166110152257402,0.5265604526907066,0.0021505917463196843,0.00027333722397714907,7.948144647915448e-05,3.1195568258946546e-05,2.5374877072170402e-05,1.9844196219080248e-06,1.0811870118429938e-06,1.4600206898370907e-08,4.632987210174372e-13
0_250_0xf00_135_200000,202.8,71.6,45.3,88.9,105.6,203.9,297.8,315.8,339.3,9.987904834818998,1.6680672882155292,1.542434055130274,0.35582887053484274,0.43316406274169644,0.012216227041186908,0.0001654674052925802,0.00012230473421696986,5.855620168963264e-05,3.334514051331086e-05,3.997900803914231e-06,7.609533740024488e-07,3.0324582847314765e-08,1.988569951090538e-07
0_100_0xf00_135_200000,112.3,30.6,45.3,62.6,70.3,112.6,152.6,161.0,176.2,9.99918878364597,1.665060304123685,1.5360207217621882,0.34803338463602196,0.45020861939454965,0.0010011354687957169,0.00035470902909222123,0.00011176366742512,1.2246784802003592e-05,5.1998703083332705e-06,2.5613000231004294e-06,5.513146090145547e-07,1.8385427940794263e-08,6.171248542981163e-10
0_2_0xf00_135_200000,63.6,12.8,41.1,50.6,51.8,59.8,79.3,87.7,109.4,9.997929621924452,1.889109862044354,1.1660521962083032,0.5465794120561477,0.39809717725380633,0.0017248894074905021,0.0004480303104122797,3.2735631264369984e-05,2.0614138034275737e-05,4.380773041337759e-06,7.33899143841602e-07,3.3117806991578477e-07,1.5174738008612536e-08,7.413446112170976e-13
0_400_0xf00_135_200000,288.6,113.6,45.3,107.0,130.6,292.0,439.1,466.6,504.1,9.954182847185162,1.667289896283725,1.5895914833751215,0.3363179068873174,0.40652811692239194,0.042253261182073724,0.0034567844795149365,0.0002684159392342752,6.36813258645574e-05,3.291777625057995e-05,9.969235538731603e-06,4.444455182538315e-06,9.513552143326731e-08,1.7981711141175553e-07
0_300_0xf00_135_200000,230.5,85.7,49.8,93.7,112.1,232.4,345.3,361.9,395.8,9.993235095784312,1.6891543575042403,1.5507035214361085,0.3437237216937371,0.41581983938418143,0.005283048996087137,0.001703841033544877,0.00029223517801051975,5.167633739001161e-05,2.56642370583094e-05,5.3457623410934525e-06,1.4169198236281151e-06,9.148891542664587e-08,1.4424424617600937e-07
0_50_0xf00_135_200000,81.4,17.6,41.1,56.3,58.6,80.1,105.1,111.8,125.4,9.996308823261343,1.8051622501899747,1.32698233954233,0.3741800826265386,0.49345322522707774,0.003616935451756427,0.0001786375271631256,5.515994806968489e-05,3.438664055834484e-05,2.458629663931511e-05,2.144590162735904e-06,1.3997022342315726e-06,2.8995410797816655e-08,7.428973395300098e-13
0_250_0xf00_135_200000,202.8,71.6,45.3,88.9,105.6,203.9,297.8,315.8,339.3,9.999701191522243,1.6906632220618918,1.5464889383291265,0.334962383186374,0.4258188754363597,0.001846604555034121,0.00022733723917737114,0.0001436750478381273,0.00011802756421045495,2.1385578144808902e-05,6.271777062608194e-06,2.0150522361154675e-06,2.1009015218939198e-08,5.164128494943274e-08
